0:011 second[Music]
0:1515 seconds[Music]
0:1818 secondsright so let's get started with our second lecture on first-order logic in which we will discuss the subject of
0:2727 secondsinference we will have a few topics that we will cover today the very first one would be reducing
0:3535 secondsinference and first-order logic to inference in propositional logic and we
0:4343 secondswill see that I mentioned and this is actually common today and it is
0:5050 secondsparticularly effective for subsets of the logics we'll talk more about this later
0:5656 secondsand then we will discuss a method or a couple of methods for doing inference
1:041 minute, 4 secondsdirectly on first-order logic sentences you may want to think of these as simple
6:146 minutes, 14 secondsthere's one more concept now when you look at this and say but wait a minute why don't you say that we are reducing
6:236 minutes, 23 secondsfirst-order inference to proposition of instance I'm looking at this and it's looking to me like first-order no here's
6:316 minutes, 31 secondssomething you have to pay attention to there are no variables here so basically you can go to this guy and call it x1
6:396 minutes, 39 secondsand you can go to this guy and call it x2 and it's gotta hear that call it X 3 and then you can think of
6:476 minutes, 47 secondsthis first rule as the propositional rule x1 and x2 implies X 3 and and
6:566 minutes, 56 secondssimilarly right so these literals because they're ground they don't have variables even though they look fancy
7:047 minutes, 4 secondsKing and parentheses and rich each one of them can be viewed as something that is either true or false and therefore
7:137 minutes, 13 secondscan be mad to a boolean value so if you do that you will end up seeing this as
7:217 minutes, 21 secondssimply a propositional knowledge base like we've handled in the lectures on propositional logic so I hope this is
7:287 minutes, 28 secondsclear when you get rid of this fancy syntax just in the proposition world and then you can do your influence on that
7:357 minutes, 35 secondsall right now let's go to the next concept that we need here and then we'll
7:437 minutes, 43 secondssee how we can put things together so the next concept is the rule of existential instantiation and this is is
7:547 minutes, 54 secondsmen to get rid of existential quantifiers so let's go ahead and do
8:018 minutes, 1 secondthat so an existential quantification again we will start it with a complete example and then talk more generally so
8:098 minutes, 9 secondsthe example we're gonna use here is the phone that exists X and Crown X and on
8:168 minutes, 16 secondshead X job so we want to get rid of this guy but the way we're gonna do it is
8:248 minutes, 24 secondspretty simply we're gonna say pick some constant in this case that's call it c1 just make sure that this does not appear
8:338 minutes, 33 secondsanywhere in the knowledge base so it's a new kind of constant and simply use that instead of X so what I will use here is
8:428 minutes, 42 secondscrown c1 and on head c1 John now there's
8:508 minutes, 50 secondsa couple of things here one is why are we picking up a new concept just have to be new but even before that
8:578 minutes, 57 secondslet's look at it intuitively are they really saying similar things well what is the guy in first guy says first time
9:059 minutes, 5 secondsthere is some ex it happens to be crown and that happens to be sitting on or
9:129 minutes, 12 secondsJohn's head and what is this guy saying there is something actually constant there's an object there I'm gonna refer to it by the main see one and that has
9:219 minutes, 21 secondsto be crown and it actually sits on John's head all right sounds similar now
9:289 minutes, 28 secondsyou're gonna tell me why this tattooing you well imagine somewhere in your knowledge base we have some predicate or statement that says read c1 and I ended
9:379 minutes, 37 secondsup using seoeon in that case not only am i saying that there is a crown that sits on Jon's head I'm also saying that it
9:449 minutes, 44 secondshappens to be read this guy doesn't say that so I want to make sure that when I use the constant it doesn't appear
9:539 minutes, 53 secondsanywhere so nothing else is being said about it it's completely fresh and new and this guy is called s :
10:0110 minutes, 1 secondconstant and that's do touch column who introduced this notion or this technique now if you wanna write something similar
10:1010 minutes, 10 secondsto what we did on the previous rule it would look something like this so we'll have there exist X alpha and then we'll
10:1910 minutes, 19 secondsdo a substitution where we replace X by some K in alpha that's basically what
10:2710 minutes, 27 secondsthe spins where K is a constant symbol that does not appear anywhere in the
10:3610 minutes, 36 secondsknowledge base right and that's basically what we have done now two things here when we go ahead and do this
10:4610 minutes, 46 secondsthe only guarantee is that if you look at the first order knowledge base and
10:5510 minutes, 55 secondsnow we're gonna get a propositional logic knowledge base all right so we started with this and we ended with that
11:0311 minutes, 3 secondsthey get a T here is satisfiability is preserved that is
11:1011 minutes, 10 secondsit's not necessarily that equivalents will be presented they would not be equivalent to each other logically but
11:1711 minutes, 17 secondsif one is satisfiable then the other is if one is not certifiable the other is not and therefore as far as answering
11:2411 minutes, 24 secondssatisfiability queries i can use this and then I'll be good and you've seen how important is satisfiability queries
11:3211 minutes, 32 secondsas far as doing things including entailment and so on right now for the
11:3911 minutes, 39 secondsthis is for existential quantification for or existence in instantiation if you
11:4711 minutes, 47 secondslook at the case of universal instantiation and assuming let's say
11:5411 minutes, 54 secondsthat we do not have function symptoms and therefore we can generate a finite
12:0212 minutes, 2 secondsproposition knowledge base then in that case you are guaranteed equivalence when
12:0812 minutes, 8 secondsyou apply Universal instantiation but in this case it's only satisfiability now the last thing we want to discuss on
12:1712 minutes, 17 secondsthis is this notion of what happens when you have actually an infinite
12:2512 minutes, 25 secondspropositional knowledge base as we've seen in the previous case right so we can keep doing associations because we
12:3312 minutes, 33 secondscan nest functions and that actually leads us to some fundamental result one particular algorithm which is very
12:4112 minutes, 41 secondssimply to state and also a fundamental complexity result on inference in first order logic so we'll do that and we will
12:4912 minutes, 49 secondsend this component at that no all right so this last topic for this component
12:5712 minutes, 57 secondswill be done under this label of entailment in first all the logic is semi decidable okay this looks pretty
13:0413 minutes, 4 secondsserious new term semi decider we'll see what that means but before we say what it is it's basically a limitation and
13:1213 minutes, 12 secondsyou see but there are certain things we can do and certain things we cannot do compared to propositional logic which would be decided so what does that mean
13:2213 minutes, 22 secondsthe main thing we have start with is this notion Orvis theorem by someone
13:3113 minutes, 31 secondswith the name of her present and this was in 1930 and let me write this theorem and then explain it all right so
13:4013 minutes, 40 secondswhat this theorem basically says if a sentence alpha is entailed by some first order logic knowledgebase
13:4713 minutes, 47 secondsthen it is entailed by a finite subset of the propositional knowledge base now remember the key here is this notion of
13:5613 minutes, 56 secondsnesting all right so what does that mean so we had like constant John and then we
14:0314 minutes, 3 secondssaid oh we could have father of John and then we said well but you could also have father or father of John now you
14:1314 minutes, 13 secondsdon't have to just nest these guys you could have age of father of John and
14:2014 minutes, 20 secondsthen you put other functions of that but you get the point that I can generate an
14:2814 minutes, 28 secondsinfinite instances and then the propositional knowledge base would be too large and what this guy says yeah even though the propositions knowledge
14:3714 minutes, 37 secondsbase could be infinite if alpha follows from it then you can grab a finite subset of it right so this is the whole
14:4514 minutes, 45 secondsguy then you can grab a subset of it let's call this this alpha is entailed by this guy you can grab a substitute
14:5414 minutes, 54 secondsDelta prime and you can think you're gonna find that this actually follow of course you have to find the right one now why is this significant it's
15:0115 minutes, 1 secondsignificant because then it suggests the following methods for trying to prove
15:0815 minutes, 8 secondsthere's alpha follows from Delta and I'm gonna write the algorithm is very simple couple of lines and then we will look at
15:1615 minutes, 16 secondsit together alright so this is the algorithm it's simply a loop that says for N equals to 0 all the way to
15:2415 minutes, 24 secondsinfinity you do two things first you create a proposition knowledge base by instantiating with depth and third so
15:3115 minutes, 31 secondswe could call this theft zero and this is depth one and this is depth 2 so first I'll just use constants and then I
15:4115 minutes, 41 secondsdo universal instantiation just using constants to place variables now I will get a subset of the funny propositional
15:4915 minutes, 49 secondsknowledge base and then I check to see if alpha is entailed by that right we can do this by you know using
15:5715 minutes, 57 secondssatisfiability as we've seen before now if yes then we're done right so we could call this if we're starting with
16:0516 minutes, 5 secondsthe with this original first-order one so let's call this guy is the propositional subset with that zero and
16:1216 minutes, 12 secondsthen I will check whether our files from that if it is then I'm done otherwise I go ahead and do this I will increase the
16:1916 minutes, 19 secondslevel of nesting and then check and again if it is then fine otherwise then I will go to Delta 2 and so on ok you
16:2716 minutes, 27 secondsget the idea the point is hairpin says if alpha indeed follows from this guy then at
16:3516 minutes, 35 secondssome point for some n you will get this you will see that so just keep trying
16:4216 minutes, 42 secondsand at some point you will finish but the problem is if alpha does not follow
16:4816 minutes, 48 secondsfrom this Delta then I'll I wouldn't know right and I keep increasing N and M
16:5616 minutes, 56 secondsand then I will basically go into an infinite - if alpha is not in tail so I
17:0417 minutes, 4 secondscan use this to put us something follows but not to pull that something does not follow and that's basically what's known
17:1117 minutes, 11 secondsas semi decidability that I can decide one thing where I do have a process that will finish to decide maintain but I do
17:1917 minutes, 19 secondsnot have a process to decide on entailment in this case and this is what's known as a demon interest of
17:2717 minutes, 27 secondsAllah to be being so I decide I will and the people credited for this are touring in 1936 and also church
17:3817 minutes, 38 secondsand the same yeah right so now you know what that basically means so as I
17:4517 minutes, 45 secondsmentioned typically when people use this technique of converting that restored their knowledge base into propositional
17:5317 minutes, 53 secondsone typically there is no function symbols so you get a finite proposition knowledge base and then you do apply
18:0018 minutespropositional knowledge based techniques like set solvers on it and actually as I said this is pretty common now before actually we move on to the next part let
18:0718 minutes, 7 secondsme just say that historically with first order logic when AI started if you remember we talked about McCarthy's
18:1418 minutes, 14 secondsproposal and how it was based on first-order logic and so on so for the first few decades of AI there was actually a lot of investment in first
18:2318 minutes, 23 secondsorder logic including computationally then at some point later and of course because it is more expressive than propositional logic right that was the
18:3118 minutes, 31 secondsattraction so we need it but in later stages the attention shifted more to propositional logic and in particular
18:3818 minutes, 38 secondscomputation so a lot of the advancement over the last couple of decades maybe even more computationally are directed
18:4518 minutes, 45 secondstowards propositional logic and set solvers and particular knowledge compilers and not as much on first-order
18:5318 minutes, 53 secondswell because we were viewed as difficult and you'll see that most of the results there are pretty bold on this subject so
19:0319 minutes, 3 secondsit's interesting to see how things shift in history and now because we have these very advanced inference engines for propositional logic people actually end
19:1119 minutes, 11 secondsup translating to propositional logic and do the influence at that alright so we're done with this particular
19:1819 minutes, 18 secondscomponent what we will do next is go ahead and discuss the first inference methods which applies directly to first
19:2719 minutes, 27 secondsother logic sentences and as we said this is kind of restricted and it has two parts forward chaining and backward chaining so let's go ahead and look at
19:3519 minutes, 35 secondsthat but these methods are applied to a specific type of knowledge bases which
19:4519 minutes, 45 secondsinclude what we call definite closets let me explain what that is if you
19:5219 minutes, 52 secondsremember from propositional logic we had the notion of horn clause and that was a
20:0020 minutesclause that had most one positive literal so for example we could have and
20:0920 minutes, 9 secondsthis would be horn clause because it has exactly one positive literal but we
20:1620 minutes, 16 secondscould also have and this will also be horn Clause because it has zero positive literals and that's fine so 0 or 1
20:2520 minutes, 25 secondspositive letters are fine but no more now definite clauses says that you have to have exactly exactly what positive
20:3320 minutes, 33 secondsliteral so this is fine all right but then the second one this guy would not be fine now why is definite Clause
20:4220 minutes, 42 secondsinteresting if you remember from the connection between this kind of a statement that we can write as this kind
20:5120 minutes, 51 secondsof statement so we said these are the same if you look at a definite Clause like this and try to put back the
20:5920 minutes, 59 secondsimplication you're gonna get a or B implies C and what you will find is
21:0621 minutes, 6 secondsevery definite Clause when you use the implication would end up being written as an application where you have in the
21:1421 minutes, 14 secondsantecedent only positive literals and the consequent only positive literal now realize that this is also a definite
21:2221 minutes, 22 secondsclause it only has one literal which is positive so that's also fine so either be of this particular form or that
21:2921 minutes, 29 secondsparticular quote so you can think of these clauses as if-then rules with
21:3921 minutes, 39 secondspositive literals on each side and
21:4621 minutes, 46 secondsmoreover not only do we have positive literals in the antecedent which is this guy but those positive literals are all
21:5421 minutes, 54 secondsconjoin so this is a special type of knowledge bases definite close knowledge bases and the discussion that we will
22:0322 minutes, 3 secondshave we'll apply to these what you would do is just work out these notions of forward and backward chaining using an
22:1222 minutes, 12 secondsexample from your book and I will lay it out first and we use the same example to illustrate both methods of doing
22:2022 minutes, 20 secondsinference now this example is about a little story I leave it to you first and then we'd go ahead and write the
22:2922 minutes, 29 secondsfirst-order sentences that correspond to that and then see how we can infer its using a forward and backward chaining the story goes as follows it says that
22:3822 minutes, 38 secondsthe dog says that it is a crime for an American to sell weapons to hostile
22:4322 minutes, 43 secondsnations the country no no an enemy of America has some missiles and all of its
22:5122 minutes, 51 secondsmissiles were sold to it by Colin and West who is a narc and we want to prove that Cornel West is actually a criminal
22:5922 minutes, 59 secondsso but we'll go ahead and break this down into a number of sentences and first over logic that people acknowledge
23:0623 minutes, 6 secondsand we're gonna give them numbers because we're gonna be using these numbers so the first one would be the
23:1623 minutes, 16 secondsfollowing all right so this first statement basically says that it's a crime for an American to sell weapons to hostile nations and then we have the
23:2523 minutes, 25 secondssecond statement so basically says that no know has some missiles now this is an
23:3223 minutes, 32 secondsexistential II quantified statement we will have to replace it by its existence and instantiation and use that instead
23:4023 minutes, 40 secondsand as you remember from the first part we can do this by replacing the variable X with a constant that does not appear anywhere in the knowledge base and
23:4823 minutes, 48 secondsthat's what we're gonna do all right so we used in this case the constant M 1 for this particular purpose so now let's
23:5723 minutes, 57 secondsgo to the third statement in this example alright so again this is saying that all of the missiles that are owned by
24:0624 minutes, 6 secondsthe country no no worse off to it by Konami West and the next segment we have is number four and this listing says
24:1624 minutes, 16 secondsthat missiles are weapons and then we have our statement which basically says
24:2324 minutes, 23 secondsthat an enemy of America counts as hostile and then we have just two more which basically says that West is an
24:3324 minutes, 33 secondsAmerican and the final one number seven which basically says the country no no is an enemy of America
24:4224 minutes, 42 secondsnow you may have realized that in this particular case we do not use any quantifiers and the reason is that
24:4924 minutes, 49 secondseverything is universally quantified so in this case there's a convention that you don't explicitly say for all X for all X and so on
24:5724 minutes, 57 secondsremember this is the only one that had an existential quantification but we're using this so actually this guy here is
25:0625 minutes, 6 secondsout and this guy is in alright and the other thing you have to realize is that
25:1225 minutes, 12 secondsthis is actually a knowledge base of definite clauses so the idea with
25:1925 minutes, 19 secondsforward chaining is pretty simple and it's probably what you may expect that what we will do is we would start with
25:2825 minutes, 28 secondsthe things that we know for sure and then try to apply these rules by
25:3625 minutes, 36 secondsmatching their antecedents and then trying to draw the conclusions that they make and before we start that realize
25:4625 minutes, 46 secondsthat what we really want to do in this particular case is basically show that
25:5425 minutes, 54 secondswhat is a criminal this is positive actually after in this particular case so again what we do is
26:0126 minutes, 1 secondwe start with me if you want to think of them the ground literals that we have
26:0826 minutes, 8 secondsand then we will start applying these rules in a forward fashion all right so what we have here is the
26:1626 minutes, 16 secondsif you want to think about them the literals that we have the ground literals that we have in this particular case and now what we'd like to do is try
26:2526 minutes, 25 secondsto see if we can apply some of these rules to grow further conclusions and we can perhaps start with the rule number
26:3326 minutes, 33 secondsfive and what rule number five says if X is an enemy of America then they are
26:4026 minutes, 40 secondshostile now we do have here that nono is an enemy of America so if we applying
26:4826 minutes, 48 secondsthe rule number five in this case and in this case X would be bound to no no then we can go ahead and conclude that no no
26:5826 minutes, 58 secondsis hostile and maybe right here rule number five all right so we use this particular rule five to draw the
27:0627 minutes, 6 secondsconclusion that no no would be outside similarly we can go ahead and apply rule number four in this particular case
27:1327 minutes, 13 secondswhich says that if X is inside there is a weapon now we do have in this case that m1 is a massage so if we apply that
27:2227 minutes, 22 secondsparticular rule then we end up concluding that m1 is a weapon and that
27:3027 minutes, 30 secondswould be a little number four another rule that we can apply in this particular case is number three number
27:3827 minutes, 38 secondsthree says if X is a missile and it's owned by no no and then it was so - it
27:4327 minutes, 43 secondsby West and we can actually apply this rule to these two particular literals
27:5327 minutes, 53 secondsand in this case we would go ahead and conclude the cells west one and this is
28:0428 minutes, 4 secondsa conjunction here and we would write three in this particular case that's what we actually used so what you see
28:1228 minutes, 12 secondshere is basically we're applying this rule in a forward fashion by matching the premise of a rule and then going
28:1928 minutes, 19 secondsinclusion and we are now ready actually to go and do our final rule application which will get us to the conclusion and
28:2828 minutes, 28 secondswith me rule number one so if you apply rule number one to this this guy this
28:3528 minutes, 35 secondsguy and that guy and that would be here a conjunction again and that would be rule number one we can go ahead and
28:4428 minutes, 44 secondsconclude criminal west all right so it's pretty simple you just opportunistically
28:5328 minutes, 53 secondsapply these particular rules and keep doing this until you finally find the thing that you are looking for now there
29:0229 minutes, 2 secondsare properties of this method of forward chaining we're not gonna go over this here we just wanted to illustrate the basic concept because these properties
29:1129 minutes, 11 secondsalso relate to what you assumed about the knowledge base there are two dimensions here there is the dimension
29:2029 minutes, 20 secondsthat is definite clause knowledge base the other dimension is do you allow
29:2729 minutes, 27 secondsfunction symbols or not if you do not allow functions then the only ground terms that you may have would be
29:3629 minutes, 36 secondsconstants and that has all kind of applications we will not get into these properties here you can read about them
29:4429 minutes, 44 secondsin your book if you want but let me just say that that combination where you have
29:5229 minutes, 52 secondsno function symbols and you also have different clauses it is known as data
30:0130 minutes, 1 secondlog this is from the world of databases that's a subset of first-order logic that's pretty common because when you
30:1130 minutes, 11 secondshave definite clauses with no function symbols then you get some desirable properties but we will again not get
30:1930 minutes, 19 secondsinto this here and you can refer to your book to learn more about this if you interested the final thing I wanna mention that even the process of rule
30:2730 minutes, 27 secondsmatch to decide whether a certain rule can fire and to do that you have to see
30:3330 minutes, 33 secondsif it's premise matches what has already been established that's also not easy in general and
30:4030 minutes, 40 secondsbut you can read about this more as I said in your textbook so now we go back or move forward with the next method of
30:5030 minutes, 50 secondssolving these problems which is backward chaining backward chaining so just to
30:5830 minutes, 58 secondsfinalize this here let me go ahead and write all right so this is here forward okay and next we're gonna go ahead and
31:0731 minutes, 7 secondsdo backward chaining what you're doing backward chaining is as the name suggests you will start with what you
31:1631 minutes, 16 secondswant to prove right so in this case we will go ahead and say criminal West and
31:2231 minutes, 22 secondsour going to see if we can actually show this or prove it so the way to do it is you would look in
31:3131 minutes, 31 secondsyour knowledge base and see if there are rules that will imply that and then try
31:3831 minutes, 38 secondsto use them in this particular case rule number one can be used to establish that
31:4731 minutes, 47 secondsWest is criminal and if we actually use it then we'll find ourself having to prove
31:5431 minutes, 54 secondsnow the antecedent of that particular rule so this is here rule number one and
32:0132 minutes, 1 secondremember that when we match this criminal west to the conclusion of that
32:0932 minutes, 9 secondsrule we will have to go ahead and set X as West right for that matching to
32:1632 minutes, 16 secondshappens so if we do that we find ourselves having to establish American
32:2332 minutes, 23 secondsnow this would be X but now we have west actually that's what we need to show and
32:3032 minutes, 30 secondsthen we have to establish that weapon Y
32:3632 minutes, 36 secondsand we also have to establish that cells in this case where
32:4532 minutes, 45 secondsX sorry Y Z and finally hostile Z now we
32:5332 minutes, 53 secondsneed to establish this and the way we do this is again using backward chaining so
33:0133 minutes, 1 secondwe will have to pick one of them and say is there a rule that allows us to establish that now if we pick the first
33:1033 minutes, 10 secondsone we will see that already matches six so this is done actually because that's already in our knowledge base we we
33:1833 minutes, 18 secondsdon't need to show that so the neat sha alright so now we have to go and pick another one and if we pick let's say
33:2533 minutes, 25 secondsweapon Y and we look at rule number four so rule number four says if something is
33:3333 minutes, 33 secondsa missile then it is actually a weapon and that tells us yeah we can show that but now we have to go ahead and show
33:4033 minutes, 40 secondsthat aside why all right so let's take another one and let's put here for
33:4833 minutes, 48 secondsbecause that's the rule we used in this case we pick Miss on Y and see can we
33:5733 minutes, 57 secondsactually establish that we find that in rule number two - we have owns no no and
34:0534 minutes, 5 secondsone and we also have missile m1 so we can match this to missile on one and by
34:1134 minutes, 11 secondssetting y to M 1 then we have this now and again this would have been ruled to
34:2034 minutes, 20 secondsrealize now that we have two set Y and one and that applies to the two places
34:2834 minutes, 28 secondswhere it already appears so this is now M 1 and this is now an one as well so we
34:3734 minutes, 37 secondskeep going with this procedure and let's go ahead apical third one sends west and
34:4534 minutes, 45 secondsas we said now this is M 1 here and this is M 1 so what we have is since West M 1
34:5334 minutes, 53 secondsto Z and the rule that we can use for this is number three now when we do the
35:0135 minutes, 1 secondmatching with number three we find that the variable Z has to be bound to no no
35:1035 minutes, 10 secondsand if we go ahead and do this we will find ourself that we will have to
35:1635 minutes, 16 secondsestablish that missing and one and we
35:2135 minutes, 21 secondsalso have to establish owns no no m1 all right so remember what happened here
35:3035 minutes, 30 secondswhen we matched our goal here what we want with the conclusion of that rule we
35:3835 minutes, 38 secondshad to bind Z to the constant now we can
35:4435 minutes, 44 secondsdo these guys so missile m1 is already established that would be two and then
35:5335 minutes, 53 secondsalso no no N 1 that is also comes from number two so that's also already
36:0036 minutesestablished and we have that now the final thing we need to do is we have
36:0936 minutes, 9 secondsjust one more thing to establish which is hostile Z so if we apply a rule 5 in
36:1536 minutes, 15 secondsthis particular case we will see that we can do this but now we have to establish
36:2236 minutes, 22 secondsthat enemy no no America because remember that Z is
36:3036 minutes, 30 secondsnow and that is already established by 7
36:3536 minutes, 35 secondsso we already have that which is 7 so as you can see what we did with the
36:4336 minutes, 43 secondsbackward chaining is that once more we start with what we want to prove and then start applying the rules backwards
36:5036 minutes, 50 secondsand this is something that's typically done using depth-first search again it
36:5836 minutes, 58 secondshas its own properties we're not going to get into all of the details we'll just mention two things quickly that if
37:0737 minutes, 7 secondsyou just apply this literally and because it's done using first manner it's possible that this may
37:1437 minutes, 14 secondsget into infinite loops and in some cases you would have to do certain things to avoid that the other thing is
37:2237 minutes, 22 secondsthat this method of backward chaining is actually used quite widely but with
37:3137 minutes, 31 secondsimprovements and in particular in logic programming if you remember when we
37:3837 minutes, 38 secondstalked about first order logic last time we did mention the notion of asking
37:4637 minutes, 46 secondsthese existential queries and then as a result of answering them you get these bindings lists so you can think of doing logical inference or first also a
37:5537 minutes, 55 secondslogical inference as doing some kind of computation and we did mention in particular Prolog as the programming
38:0338 minutes, 3 secondslanguage that is based on that concept so Prolog actually does use backward chaining with improvements and some
38:1138 minutes, 11 secondsvariations and there should be a discussion about that in your text for those so this actually concludes the
38:2138 minutes, 21 secondsfirst part of our lecture within which we first discuss the reduction of
38:2938 minutes, 29 secondsfirst-order logic to propositional logic using two rules we Universal instantiation rule and the existence of
38:3938 minutes, 39 secondsinstantiation rule and we gave some basic procedure which is most of the
38:4638 minutes, 46 secondsirritating interest in which you go and incrementally generate instantiations of your knowledge base by increasing the
38:5538 minutes, 55 secondsdepth of nesting in terms and then doing propositional inference to try to prove
39:0339 minutes, 3 secondswhat you need to prove and the highlight of that that that procedure was what we call semi decidable or inference in terms of the logic a semi decidable in
39:1139 minutes, 11 secondsthe sense that if you actually if what you're trying to prove indeed follows from the knowledge base then you'll eventually be able to do that but if
39:2039 minutes, 20 secondssomething does not follow a knowledge base then there is no procedure that will do that and and will terminate
39:2839 minutes, 28 secondsand then we went and reviewed former chaining and backward chaining as two particular different methods on what we
39:3739 minutes, 37 secondscall definite clauses and then in the next part we will go ahead and talk
0:011 second[Music]
0:1515 seconds[Music]
0:1717 secondsall right so what we will do in the second part of the lecture is discuss
0:2424 secondsthe resolution in first of the logic largely speaking and at the high level the discussion will be similar to what
0:3333 secondswe did in propositional logic in the sense that you would normally have some
0:3939 secondsknowledge base and some query alpha and you want to tell whether alpha follows
0:4646 secondsfrom Delta and then you do this by constructing this knowledge base and
0:5353 secondsthen checking if satisfiable and once
1:001 minutemore this has to be in CNF because we do apply resolution in this case to conjunctive normal form and if you
1:081 minute, 8 secondsremember from previously we will have that alpha does indeed follow from Delta if and only if another alpha is
1:181 minute, 18 secondssatisfied so that would be the normal process of doing a resolution proof at this point it's very similar or it's the
1:251 minute, 25 secondssame basically as in propositional logic the difference is that we will have a new way to a generalized way of
1:351 minute, 35 secondscomparing two CNF it's a little bit of a more involved process and the other
1:421 minute, 42 secondsthing that we will need to discuss is that the rule of resolution itself is a little bit more involved and it was this
1:511 minute, 51 secondsnotion of matching that we have seen in the previous part about forward and backward chaining and this notion of
2:002 minutesmatching more generally is known as the process of unification so we explain that now and we will see
2:092 minutes, 9 secondsthat we need to know what unification is and know how to do it at least its simple forms before we can actually
2:162 minutes, 16 secondsdiscuss the rule of resolution in the first-order setting so what is unification unification is when you have things like
2:252 minutes, 25 secondssay tells John X and then you have another one that is knows John Jayde
2:352 minutes, 35 secondsnow these are not exactly the same thing right but I want to see if I can actually make them the same thing and I
2:452 minutes, 45 secondscan do this by doing a unification and that is by setting the variable X to Jane if I do that we will call this a
2:552 minutes, 55 secondsunifier and the idea if you go ahead and apply the substitution to both of them
3:003 minutesthen this guy becomes knows John Jane which is now exactly this particular guy
3:103 minutes, 10 secondsso we would say we have unified one so more generally if you do have some alpha
3:173 minutes, 17 secondsand beta then the unifier typically we call this guy theta and the idea is
3:273 minutes, 27 secondsunifying alpha and theta is this part you know you can invite them using this
3:343 minutes, 34 secondsunifier that basically means if you take alpha and apply the substitution to it and take beta and apply that
3:433 minutes, 43 secondssubstitution to it and you'll get the exact same thing right so in our case this would be alpha and this would be
3:523 minutes, 52 secondsbetter and our unifier would be that particular guy so let's take some more
3:593 minutes, 59 secondsexamples in this case let's say we have
4:044 minutes, 4 secondsnose John X and nose why Oh J so again
4:134 minutes, 13 secondsthey're not the same and the question is can we unify them and for that we need to have a substitution that if we apply
4:214 minutes, 21 secondsto both of them then they become exactly the same now if you look at it in this case this guy we will need to sell why
4:324 minutes, 32 secondsto John and then if you look at these guys here here set X - Oh J then that should work right
