0:011 second[Music]
0:1515 seconds[Music]
0:1818 secondsall right welcome back to 161 this is lecture 11 we will continue today our
0:2525 secondsdiscussion on logic we started initially by talking about propositional logic today we will talk
0:3232 secondsabout the more advanced type of logic that's known as first-order logic sometimes this is also known by the
0:4141 secondsacronym fol it's also known as political calculus and we will see the reason for
0:4949 secondsthis particular name and just a little bit this is a quite influential logic not just in computer science and AI but
0:5858 secondseven before that but had played a role in philosophy and mathematics in fact some of you may have been exposed to it
1:071 minute, 7 secondsin these other contexts particularly philosophy if you've taken perhaps a
4:214 minutes, 21 secondshere this may look familiar or completely foreign doesn't matter at this point because we're gonna discuss this in detail but I just wanted to give
4:294 minutes, 29 secondsyou an example of our statement and this logic may look like so this would be a statement that
4:364 minutes, 36 secondsbasically says for all squares are if there is a bit in that particular cell
4:434 minutes, 43 secondsthat implies for all other cells that are adjacent to are those cells must be
4:514 minutes, 51 secondsbusy and you see here new things one is this notion of quantification which we
4:584 minutes, 58 secondswill talk about in detail so you're saying for all instead of having to enumerate them explicitly we have what
5:055 minutes, 5 secondswe call properties we have this notion of a relation and this will also would be a property and you can do even more
5:145 minutes, 14 secondssubstituted things like reference objects using functions so in principle you can define a function that says left
5:235 minutes, 23 secondsand when you apply this to a particular cell then you will be referencing the Excel to the left of that 1s and so on
5:335 minutes, 33 secondsall right we look at all of this in more detail as we go on but I just wanted to give you a very quick example before we
5:415 minutes, 41 secondsmove on and you can imagine what I meant when I said more suction right so using something like this you can express
5:495 minutes, 49 secondsknowledge more compactly such things that's what it means more compactly and let me just mention that typically when
5:585 minutes, 58 secondsyou discuss a logic you have to talk about the syntax and semantics which is what we've done in propositional logic and we'll find ourself here focusing
6:066 minutes, 6 secondsmore on syntax and how to present knowledge reusing first-order logic because it can get tricky actually in
6:156 minutes, 15 secondsfact we're going to spend quite a bit of time today just taking statements and that's oral language and seeing how we can represent them using first order logic this is the maze in really that we
6:246 minutes, 24 secondsneed to pick up from today semantics of first-order logic are somewhat more involved if you want to give them a formal and proper treatment
6:326 minutes, 32 secondswe'll just hint at that today but will mostly focus on syntax and how to represent using triste for the logic so
6:386 minutes, 38 secondslet me go ahead and move on to the next step the notion of a world in first order logic is
6:476 minutes, 47 secondsquite a bit more ritual than the way it was in propositional logic so in propositional logic simply that we
6:566 minutes, 56 secondshave variables so this could be a b c and so on and then each one of them could be either true or false and any
7:057 minutes, 5 secondscombination of that would be a world so world is simply something like a is true B is false C is false and and so on in
7:157 minutes, 15 secondsfirst order logic it's more involved so here we have the notion of objects and
7:227 minutes, 22 secondsthese objects can have properties they can be related together using relations
7:317 minutes, 31 secondsand we also have the notion of functions that map from objects to objects so we
7:407 minutes, 40 secondswill do is first try to do this intuitively by showing you some example statements that you would use to express
7:487 minutes, 48 secondsknowledge and then we will go through the exercise of you having to identify these components objects properties relations and functions in power
7:577 minutes, 57 secondsstatements and then we will go and discuss the syntax of first order logic or property all right so here what I'm
8:068 minutes, 6 secondsgonna do is write few statements and then we will try to do them together by defining these components but let me
8:138 minutes, 13 secondsjust mention first that examples of objects here might be people houses
8:198 minutes, 19 secondsWampus numbers colors and so on examples of properties may be that
8:288 minutes, 28 secondssomething is breezy as we've seen in the previous example may be large something
8:358 minutes, 35 secondsis red and so on and as far as relations we could talk about something being inside something else and we can talk
8:448 minutes, 44 secondsabout something being adjacent to something else and or something that is larger than something else and so on and
8:538 minutes, 53 secondsas far as functions you can talk about things like father of best friend off and so on alright so
9:029 minutes, 2 secondslet's go ahead and do some examples and what I'm gonna do here is again I'm gonna write a statement like this one and I'm gonna put here objects and I'm
9:129 minutes, 12 secondsgonna put relations and then functions and properties and you will basically
9:209 minutes, 20 secondshelp me out here so that's it in this particular example if you look at the statement one plus one equals two what
9:289 minutes, 28 secondswould be the objects in this case we just want to get a sense of this okay and people are saying one two these would be the objects correctly and
9:379 minutes, 37 secondssomeone is asking is first-order logic and predicate calculus the same thing yes they're just two different names and again you'll see why it's called
9:449 minutes, 44 secondspredicate calculus in just a little bit now what are the relations in this particular case in this particular sentence the relation and people are
9:539 minutes, 53 secondssaying equals and do we have any functions in this case remember the functions maps objects objects yes
10:0210 minutes, 2 secondspeople are saying plus any properties in this particular case the people actually exhausted everything in this case so
10:1110 minutes, 11 secondsthere couldn't be properties there is no properties in this it's okay let's repeat the same exercise but now using
10:1810 minutes, 18 secondsthe statement and we will do basically the same things objects let me just put the initials here objects relations and
10:2610 minutes, 26 secondsfunctions and properties so what are the objects in this particular case so
10:3210 minutes, 32 secondspeople are typing square and compass and let's see and what else do we have
10:4110 minutes, 41 secondsrelations in this particular case right people are writing adjacent very good okay so we're getting the hang of this
10:4910 minutes, 49 secondsand what about functions do we have any functions in this case can people see
10:5610 minutes, 56 secondsany functions okay I'm getting silence people are saying no functions and what
11:0311 minutes, 3 secondsabout properties okay good smelly now someone is asking are these categories mutually exclusive can
11:1111 minutes, 11 secondssomeone cancer thing belong to two categories no they are YouTube exclusive but you will see
11:1811 minutes, 18 secondslater that the way you formulate the problem may give you some choices so we
11:2511 minutes, 25 secondswill find ourself in situations where someone may want to define something as a property versus a relation or the
11:3411 minutes, 34 secondsother way around so there is not just one specific way of doing this thing and we'll talk more about this when we get
11:4111 minutes, 41 secondsto it later this is something that basically we will have to mention because it's one of these interesting things that come up when you try to
11:5011 minutes, 50 secondsformulate you know natural language statements and represent them using first order logic very so let's go ahead
11:5711 minutes, 57 secondsnow that we've gotten a feel of this and start talking about the syntax of first
12:0412 minutes, 4 secondsorder logic and you will see that it's richer and we would have to go over more things and then we get to the point
12:1312 minutes, 13 secondswhere we start using it now here's the interesting thing so in propositional logic all we have to
12:2012 minutes, 20 secondsdo is come up with variables these were the things that were in a sense problem-specific so if you were talking
12:2812 minutes, 28 secondsabout the Wumpus grid then you had to come up with variables that was in whether sellers breezy or smelly and so
12:3712 minutes, 37 secondson and this was the domain-specific part of the syntax but then the rest of it like logical connectives and so on
12:4512 minutes, 45 secondsapplied always in first order logic you'll have to talk about constants you
12:5212 minutes, 52 secondswill have to talk about predicates and functions those would be the components that are specific to a particular
13:0113 minutes, 1 secondproblem now we've seen functions right so when you decide to have something
13:0713 minutes, 7 secondsthat says left off if you're doing the Wumpus world you may want to refer to
13:1413 minutes, 14 secondsthe left cell of some particular cell so you introduce function like left oh this
13:2213 minutes, 22 secondswould be specific to that domain now it's is the other name for relations all right so people typically use predicates
13:3113 minutes, 31 secondsinstead of relation and that's why it's called predicate calculus and where we've seen examples of adjacent so you
13:3913 minutes, 39 secondshave decided to use the predicate adjacent when formulating the 1 + 4 you may not use this in some other domain
13:4713 minutes, 47 secondsand then there are constants these are names for objects so you could have the
13:5413 minutes, 54 secondsnumber two you could basically decide to have the name Jack you may decide to use
14:0014 minutesthe constant UCL a and so on so these are think of them as direct names of
14:0714 minutes, 7 secondsobjects these particular components as I said they are domain specific and
14:1514 minutes, 15 secondscorrespond to a particular thing that you're trying to model and then the other components which are always there
14:2114 minutes, 21 secondsyou have the variables and we will use small letters formats this is when we
14:2814 minutes, 28 secondssaid something like for all our if it are and so on so then you have the connectives logical connectives
14:3614 minutes, 36 secondsand these are your usual and or negation implication equivalence and so on now
14:4414 minutes, 44 secondsyou have a special predicate which is the equality and in a sense this falls under predicates but it's somewhat
14:5214 minutes, 52 secondstreated specially and then you have the quantifiers now there's two of them we already seen one of them this guy exists for all and there is another one which
15:0015 minutesis this guy which is that exists so this is for all and this reads as there
15:0815 minutes, 8 secondsexists we're gonna look at them in more detail and let me say as far as convention we're using lowercase for
15:1715 minutes, 17 secondsvariables and we're gonna use upper case for constants I think there was a question about this yeah we'll try to be
15:2715 minutes, 27 secondsI'll try to be consistent but that's the intention is to use lowercase for variables and uppercase for constant so
15:3415 minutes, 34 secondsagain you've got these two categories this is one and this is too and once more this is in
15:4215 minutes, 42 secondsa way domain-specific and once more there could be multiple choices for how
15:5115 minutes, 51 secondsto do this part and this is also what is also known sometimes as they wrote capillary so we'll say before you start representing things using first-order
15:5915 minutes, 59 secondslogic we need to pick up your vocabulary you need to know what are the constants predicate sign function sometimes for very simple examples almost obvious what
16:0716 minutes, 7 secondsit is and there is only one way of doing it but for more involved things and we try to look at that in the second part of the lecture today it's not as immediately obvious now
16:1616 minutes, 16 secondslet's keep going with with syntax and the next thing we're gonna discuss is
16:2416 minutes, 24 secondshow do you build sentences in first order logic so in proposition it was pretty simple once you have the
16:3116 minutes, 31 secondsvariables then every variable is a sentence and then you can put things together using connectors so if X is a boolean variable you can talk about not
16:3916 minutes, 39 secondsX and then you can say not X or Y and so on and in this particular case it's a little bit more involved so let's go
16:4716 minutes, 47 secondsahead and see how you put even your simplest type of sentences and let me just take a look at the board quickly
16:5516 minutes, 55 secondsbefore I do that so we talked about predicate as being relations and someone's saying what are the properties
17:0417 minutes, 4 secondsyou can think of properties as relations that have a single argument all right so
17:1217 minutes, 12 secondsthose would fall under the predicate category and then you'll see examples of that you can look at smelly X where
17:2117 minutes, 21 secondssmelly is a predicate in this particular case very good question well folks what we need to do is talk about atomic
17:3017 minutes, 30 secondssentences that is the simplest type of sentences you can write in first order logic and again this is more involved in
17:3817 minutes, 38 secondspropositional logic it was just a single variable is the atomic sentence and here we have to do in fact even in two steps the first thing we have to talk about is
17:4717 minutes, 47 secondsthe notion of a term before we even get to what is an atomic sentence so what is it - a term think of
17:5517 minutes, 55 secondsit as an expression that you can use to refer to an object all right and there are three ways in which you can refer to
18:0318 minutes, 3 secondsan object in first order logic you can do that using a constant so you can say - or you can say UCLA or you can say
18:1318 minutes, 13 secondsJack right or you can use a variable and you've seen that and this is when use quantification you say for all X right
18:2218 minutes, 22 secondsso you're all that exists X or the third way is to apply a function so here you
18:3018 minutes, 30 secondswould have a function that is applied to terms so anyway it is a recursive definition and we'll see examples of
18:3818 minutes, 38 secondsthat so you could say father of Jack right so we may have the function being father oh
18:4718 minutes, 47 secondsand then you do Jack that would be a term right I'm referring to a particular object but not directly using this
18:5518 minutes, 55 secondsparticular function now once you have this notion of a term then we can say that the atomic sentence would look like
19:0319 minutes, 3 secondsthis it's basically a predicate applied to terms all right so this is an example
19:1319 minutes, 13 secondsso you could have brother that's a predicate and you can say Jack
19:2019 minutes, 20 secondsTom okay this was pretty simple in the sense that these guys were just constants right or you could say brother
19:3019 minutes, 30 secondsfather of Jack Tom now what we used is a simple term which is a constant and the
19:3819 minutes, 38 secondsmore complex one which was a function being applied to another object and so on all right so now that we have our
19:4619 minutes, 46 secondsatomic sentences this is the simplest type of symptoms that you can write and then you can go ahead and combine this
19:5419 minutes, 54 secondsusing connectives and more importantly quantifiers so let's take a look at this so we're continuing
20:0320 minutes, 3 secondssyntax and suppose that s s one s two
20:1020 minutes, 10 secondssentences then you can go ahead and do the obvious where you can negate this guy you can take the conjunction of
20:1920 minutes, 19 secondsthese two guys their disjunction and so on you could do implications you could
20:2620 minutes, 26 secondsdo it reference we didn't use this year and so on all right so you know you
20:3420 minutes, 34 secondscould say greater one two or less than or equal one two and so on
20:4320 minutes, 43 secondsthis would be an example statement you can do something like later 1 2 and not
20:5420 minutes, 54 seconds3 of statements but just to give you an example so this would be negated and so
21:0121 minutes, 1 secondon gonna do something a little bit more interesting you may say something like
21:0821 minutes, 8 secondsgreater age of Sally age so what
21:1721 minutes, 17 secondshappened here is we use more complex terms in this case we apply the function that is age to a person and then we're
21:2621 minutes, 26 secondscomparing the ages of two people in this particular case and then you could have or and do whatever and you can go ahead
21:3421 minutes, 34 secondsand do implications and so on ok you get the idea so this is so this this part
21:4021 minutes, 40 secondshere can be similarly basically to propositional logic again it gets interesting when we do the next step which is quantification and there you
21:5021 minutes, 50 secondscan start really having fun writing things easy first-order logic ok before we do that let me see there is a question here about the difference
21:5821 minutes, 58 secondsbetween a function and a relation function and the relation so again let's
22:0622 minutes, 6 secondsdo this one more time but you will get a better feel of it as we do more example a function Maps
22:1422 minutes, 14 secondsobjects to object and we just saw an example of that so when you're talking about the
22:2122 minutes, 21 secondsage of Sally so this is an object and the result of this whole thing is
22:2822 minutes, 28 secondsanother object which is a number in this particular case so a relation holds
22:3622 minutes, 36 secondsbetween objects and looking at our example this would be greater than right
22:4422 minutes, 44 secondsso greater than is a relation between two objects that says the first object is greater than the second object and if
22:5122 minutes, 51 secondsyou look in this particular case this was our object 1 and this was our object
22:5722 minutes, 57 seconds2 and then we said that they a certain relation holds between them that the first object is basically greater than
23:0623 minutes, 6 secondsthe second option so we will see again examples as we move on and you'll hopefully get more comfortable with that
23:1323 minutes, 13 secondssomeone saying so with a relation to return true or false yes you can think of a relation being either true or false either holds or not
23:2123 minutes, 21 secondsand someone is saying against or relation predicate Maps objects to boolean values you can think of it this way
23:2823 minutes, 28 secondsyes all right let's let's move on and talk about quantification we will treat each one of them separately and then we
23:3623 minutes, 36 secondslook at the connections between them which is where things get interesting so I will start here with what we would
23:4323 minutes, 43 secondscall Universal quantification this is this guy when we say for all reads for
23:5223 minutes, 52 secondsall and the general pattern is like this you can have for all and then you're
24:0024 minutesgonna have variable or more and then you're gonna have sentence all right so next second example so you may have the
24:0824 minutes, 8 secondsfollowing statement for all X X UCLA
24:1424 minutes, 14 secondsimplies smart X ok just before we look at this more carefully this is the
24:2224 minutes, 22 secondspredicates in this case are and smart all right and we see here that at is the relation that holds between
24:3124 minutes, 31 secondstwo particular objects the predicate smart has only one argument so anyway we go to our language this would be a
24:3924 minutes, 39 secondsrelation and this would be in this particular case what we call the property but we can ignore this distinction for now and just think of
24:4724 minutes, 47 secondsthem both else predicates now do we have constants in this statement yes UCLA so
24:5524 minutes, 55 secondsthis is our constant in this particular case hey now what this statement is
25:0225 minutes, 2 secondssaying is that everyone at UCLA is smart now what I want you to do is think about
25:0925 minutes, 9 secondsthe statement in the following way and it may look obvious now but it will help you later in the sense that sometimes
25:1725 minutes, 17 secondsyou're trying to flip your system things out and they not as obvious but when you think about them the way I'm gonna do it next you'll find that things come out
25:2425 minutes, 24 secondsvery clearly you want to think of this as in a sense being equivalent to the
25:3325 minutes, 33 secondsconjunction so we're thinking of this as for all X key and P has has variables in
25:4225 minutes, 42 secondsit right X so if you take X and replace it by all possible values it may have
25:4925 minutes, 49 secondsand then write a big conjunction that's what is going on here so you can think
25:5525 minutes, 55 secondsof this as saying at John UCLA implies
26:0226 minutes, 2 secondssmart John this is one thing and then you can say and and so on all right so
26:1026 minutes, 10 secondsthis could be added now in general let's say you have a function called father oh
26:1926 minutes, 19 secondsthat would also mean this also includes
26:2226 minutes, 22 secondsadd father and UCLA implies smart
26:3226 minutes, 32 secondsnow one thing you can see this is actually in principle would be an infinite conjunction because you may have an infinite number of
26:3926 minutes, 39 secondsobjects you can then say father off father off and and so on so it is saving you from having to write a huge
26:4826 minutes, 48 secondsconjunction like this which could be infinite right you can just do it simply by doing this but remember this and then
26:5626 minutes, 56 secondswe're gonna do existence of quantification that is there exists later you can see kind of a dual story to this now we're gonna go to the next
27:0327 minutes, 3 secondsguy which is essential quantification and we'll see how it looks and in particular we'll start talking about the
27:1227 minutes, 12 secondsinteractions Kingdom between the two twenty fives so exist actual quantification this is denoted this way
27:2127 minutes, 21 secondsright and it reads there exists and the general pattern here of the statements
27:2927 minutes, 29 secondswould look like this you will have this symbol and then you would have variables and then you would have a sentence so
27:3727 minutes, 37 secondshere's a statement it says there exists X at X UCLA and Tom X so what we have
27:4827 minutes, 48 secondshere again to predict its we have this path predicate and we have to own and we
27:5527 minutes, 55 secondsalso have the constant UCLA now I hope intuitively it's clear what this means right it just means that someone at UCLA
28:0428 minutes, 4 secondsis taught what I want you to now think about is if I want to replace this by a
28:1228 minutes, 12 secondsstatement that does not have variables and let's keep it simple and say the only objects that we have are ad and
28:2128 minutes, 21 secondsSandy and Tom what would this look like if I were to replace the statement by a
28:3028 minutes, 30 secondsstatement that does not have variables in the previous case we had a conjunction
28:3728 minutes, 37 secondsthat is we did the substitution we took this statement and we said okay what
28:4628 minutes, 46 secondscould be the value of x and said it is that and then what else and it's that and when we took those
28:5328 minutes, 53 secondsand we had a conjunction between them in this case what we're gonna do okay good people are saying it should be a disjunction so this would look something
29:0229 minutes, 2 secondslike at at UCLA and Tom Edie this would
29:0929 minutes, 9 secondsbe one of them or and then you would go ahead and say at Sandy UCLA and told
29:1829 minutes, 18 secondssandy and so on and then you keep going right so it's a disjunction okay okay
29:2529 minutes, 25 secondsremember that it will come handy later if you think this is obvious fine but then remember it when you get stuck in
29:3429 minutes, 34 secondscertain cases as far as trying to understand what is the meaning of is something that your book mentions it may
29:4129 minutes, 41 secondslook obvious but the idea is that typically when you write statements using for all you end up using place
29:5129 minutes, 51 secondsconnected with them and when you end up writing statements using that you end up basically using this so here we said for
30:0130 minutes, 1 secondall X at X UCLA implies smart X but when
30:1030 minutes, 10 secondswe do the extension quantification it looked like this at X UCLA and stalled X
30:2030 minutes, 20 secondsnow I will leave it to you at home to go and see what happens if you switch these
30:2730 minutes, 27 secondsthat is what happens for example if instead of this you could cats what does
30:3430 minutes, 34 secondsthe sentence end up meaning alright and you will find it useful to unfold things
30:4130 minutes, 41 secondsto really see what's going on alright so in the next minutes or so I would like to talk about the interaction between
30:4930 minutes, 49 secondsthese two guys at least and then we will go ahead and write something more complex as far as expressing statements
30:5830 minutes, 58 secondsin this logic now this would be under the title of
31:0531 minutes, 5 secondsproperties of quantifiers again before I start let me just quickly check the board here okay so the question is when
31:1431 minutes, 14 secondswe did the unfolding on the previous screen when we unfolded that exist statements into disjunctions would it
31:2131 minutes, 21 secondsalso be infinite in general yes similar story and you have to realize what makes
31:2931 minutes, 29 secondsthings infinite is this notion of functions which can be applied multiple times so we just had a small example and and we did not have functions that's why
31:3831 minutes, 38 secondsit was fine all right so as far as properties of 25 the first thing you
31:4531 minutes, 45 secondsneed to know is that if you have for all X and then for all Y then that's the
31:5131 minutes, 51 secondssame as for all Y for all X so you can flip these and if you want to prove this
32:0032 minutesor convince yourself just apply the unfolding technique that we mentioned and and you'll see that both of them will unfold to the same thing now
32:0832 minutes, 8 secondssimilarly for this guy if you have there exist X there exists Y this is the same
32:1432 minutes, 14 secondsas there exists Y there exists X once more you can convince yourself with this
32:2232 minutes, 22 secondsby using the unfolding technique now here's what you have to pay attention to there exist X for all Y is not the same
32:3332 minutes, 33 secondsas for all Y there exists X so you cannot flip these guys in this case
32:4232 minutes, 42 secondsbecause there are different types of quantifiers let's take an example and what I'm gonna do here is I'm gonna write the statement well let me put it
32:5132 minutes, 51 secondsfor all Y there exists X loves X Y so
33:0033 minutesthis is our candidate and then what we will do is try to flip them and see what
33:0833 minutes, 8 secondshappens let me not do the flipping yet I want someone in plain English to type to the
33:1633 minutes, 16 secondschat box what is this statement saying and let me take a look here okay I am getting a variety of answers every
33:2433 minutes, 24 secondsperson loves X no you can't use X so everyone has someone who loves them
33:3333 minutes, 33 secondseveryone is loved by someone I'm getting too many answers basically what this is
33:4033 minutes, 40 secondssaying is everyone in the world is loved by at least one person everyone in the
33:4833 minutes, 48 secondsworld this is this guy for all Y everyone in the world there is someone
33:5433 minutes, 54 secondswhich is X what X loves mine so everyone in the world is loved by at least one
34:0134 minutes, 1 secondperson all right and now if we try to do the other one where we go ahead and flip
34:0934 minutes, 9 secondsthe quantifiers look what happens so people are asking this the meaning of
34:1734 minutes, 17 secondsthis guy is let's just make it clear that X loves Y all right that's the
34:2634 minutes, 26 secondsmeaning no if you look at this statement well the only thing we did is go ahead and and flip these guys right so we took
34:3534 minutes, 35 secondsit essential out and remove the universal n this statement basically
34:4134 minutes, 41 secondschanges the meaning now you have there
34:4534 minutes, 45 secondsis a person who loves everyone in the
34:5434 minutes, 54 secondsright so there is a person that's X well exists X such that for all Y X loves
35:0235 minutes, 2 secondsokay there is a person who loves everyone in the world so these are very different statements and the only thing that we did fear is flip those
35:1135 minutes, 11 secondsquantifiers all right let's do one more thing and then we take our break this is
35:1835 minutes, 18 secondsduality between these quantifiers in the sense that I don't really meet both if I
35:2535 minutes, 25 secondshave one I can always Express wherever I want in the sense that I can simulate one of them or
35:3335 minutes, 33 secondsone of them using the other so let's take a look at this and here you can
35:4035 minutes, 40 secondshelp me out so if we say for all X likes X ice cream all right gives a statement
35:4935 minutes, 49 secondssays everybody likes ice cream yeah can you try to say the same thing but without using for all that is using
35:5935 minutes, 59 secondsthat exists it will be somewhat an indirect way of saying it but it should be possible and if you type to the chat
36:0736 minutes, 7 secondsbox you can use this for exists and yeah we don't need for all for now but you
36:1436 minutes, 14 secondscan use this for exists can someone try to express the same thing or you can see
36:2136 minutes, 21 secondsin English so let me see what people are saying ah good good the bunch of you are
36:2836 minutes, 28 secondsso let me see some people wrote it saying not there exists X not likes X
36:4136 minutes, 41 secondsice cream and some of them some of you spelled it in English let me try to read one of the English statements that
36:4836 minutes, 48 secondspeople wrote someone said there is no person who does not like ice cream all right so if you look at this guy here
36:5836 minutes, 58 secondswhat is this guy saying let's let's look at it in pieces look at this what is the same says that exists someone who
37:0537 minutes, 5 secondsdoesn't like ice cream and this guy says all got through but no that's impossible the first part if you want to think
37:1237 minutes, 12 secondsabout it as this guy being alpha alpha a saying there is someone who does not like ice cream and the other side says
37:1937 minutes, 19 secondsno that's impossible so everybody likes asking well in general you can think about it in the following sense if you
37:2637 minutes, 26 secondsremember the Morgan's law in the Morgan's law we said if you have this then you can push the negation inside but then when you walk through an end
37:3537 minutes, 35 secondsyou flip it to and/or so this becomes that and then the Morgan's law also says if you have this then you can go ahead
37:4437 minutes, 44 secondsand do the following look what happened here there was this notion of flipping of these guys they
37:5237 minutes, 52 secondswere this became that in quantifiers the same story what happens is you can push the negation inside but if you walk
38:0138 minutes, 1 secondthrough a quantifier you flip it so let's look at this guy here I can push the negation inside but the minute I walk through this guy it ends up being
38:0938 minutes, 9 secondsfor all and then I have not not likes X ice cream and those two can sit together
38:1738 minutes, 17 secondsso I get for all X likes X ice cream Praeger alright so we're done with this
0:011 second[Music]
0:1515 seconds[Music]
0:1818 secondslet's assume with our second part of the lecture on representing knowledge using first-order logic what we will do next
0:2626 secondsis just a few examples to exercise what we've learned so far and then in the rest of the time after that I'll try to
0:3535 secondswalk you through some larger example that's discussed in your textbook we'll sketch it here but it will help you to get to see even a bigger picture about
0:4343 secondshow all of this works next up sentence we're gonna write we're gonna try to make use of equality which
0:5050 secondsis a special predicate as we've seen so we'll end up using it there I just want us to do a couple of examples before we
0:5959 secondsmove to other things and I'm gonna start with the following statements I'm gonna write it and then we'll see how we
1:081 minute, 8 secondsrepresent spot has two sisters and since we're starting with this I'm gonna help you out here by telling you that we will
1:171 minute, 17 secondshave just one predicate sister and it has two arguments and we will have only
1:241 minute, 24 secondsone constant which is spot and now I want someone to write a statement in
1:321 minute, 32 secondsfirst order logic that represents the fact that spot has two sisters so
1:391 minute, 39 secondsanybody wants to try that and we may need for this part here to allow people to actually stick it out instead of type
1:471 minute, 47 secondsit because it's gonna be more challenging to do that so if you're interested in contributing the solutions through your mic please raise your hand
1:551 minute, 55 secondsand hopefully Lorraine can help us here in unmuting and muting people as we need to do that anybody wants to do this well
2:042 minutes, 4 secondsalready people are typing to the board and saying things like let me pick up
2:122 minutes, 12 secondsone of the solutions actually so one of the solutions that people typed here is but it does have quantifiers I'm gonna
2:202 minutes, 20 secondswrite it and it says the sister
2:242 minutes, 24 secondsX spots and sister Y spot right and not
2:332 minutes, 33 secondsX equals y so someone type this that X
2:402 minutes, 40 secondsis a sister spot where is sister up spot and they are not equal but there was no
2:452 minutes, 45 secondsquantification so okay so now people are basically saying we need to use that
2:532 minutes, 53 secondsexists so there exists X that exists Y so when the statement saying is that there are x and y x atmosphere sisters
3:033 minutes, 3 secondspark y happens to be a sister and they're not the same all right very good now let me ask you a question let me ask
3:103 minutes, 10 secondsyou a question here does this say that spot I'm looking at this car here and
3:183 minutes, 18 secondsthere was some ambiguity in what I said does this say that spot has exactly two sisters or has at least two systems so
3:273 minutes, 27 secondsit could have two or more okay very good a lot of people are saying basically that at least two sisters so this does
3:343 minutes, 34 secondsallow for spot to have more than two sisters right she may have three right but two or more
3:413 minutes, 41 secondsvery good well let's do it now in a more interesting way what if I want to say
3:503 minutes, 50 secondsthat spot has exactly two sisters right
3:583 minutes, 58 secondsso we're doing now hopping the challenge a little bit so this was correct the first one was correct this this was correct
4:044 minutes, 4 secondsnow how do we actually do this so that we say that spot has exactly two sisters
4:114 minutes, 11 secondsand to make it somewhat structured let me suggest that you could add more to
4:194 minutes, 19 secondsthe previous statement so I'm gonna write it again here and say there exists
4:254 minutes, 25 secondsX there exists Y right sister X spot and
4:314 minutes, 31 secondssister Y spot and not equals y and I want to continue so I
4:414 minutes, 41 secondswant to add more and let me see okay you know you have to realize it's not as easy for me now to parse these answers
4:504 minutes, 50 secondsthat not a simple yes/no answers people are writing X complicated expressions I'm going to look at for one of the
4:574 minutes, 57 secondssimpler ones and try to get it so someone is let me see very partial
5:055 minutes, 5 secondssolutions that I'm seeing okay I think I got one now so let me write this for all
5:135 minutes, 13 secondsZ sister Z spot okay check out the scrolling so I'm trying to keep track of
5:215 minutes, 21 secondswhat I'm copying here this is the one that says for all Z if Z is the sister
5:285 minutes, 28 secondsof spot then very good yes yes so this solution here says for all Z sister Z
